;Booking_ID;number of adults;number of children;number of weekend nights;number of week nights;type of meal;car parking space;room type;lead time;market segment type;repeated;P-C;P-not-C;average price;special requests;booking status;date;day;month;year
40;INN00041;2;0;0;4;Meal Plan 1;0;Room_Type 1;64;Online;0;0;0;93.6;2;0;2018-11-01;1;11;2018
41;INN00042;2;0;0;2;Meal Plan 1;0;Room_Type 1;35;Online;0;0;0;102.0;1;0;2018-06-21;21;6;2018
42;INN00043;3;0;2;1;Meal Plan 1;0;Room_Type 1;96;Online;0;0;0;121.8;1;0;2018-04-10;10;4;2018
43;INN00044;2;0;1;1;Not Selected;0;Room_Type 1;41;Online;0;0;0;98.1;1;1;2018-06-27;27;6;2018
44;INN00045;2;0;0;4;Meal Plan 1;0;Room_Type 4;55;Offline;0;0;0;60.0;1;0;2017-11-18;18;11;2017
45;INN00046;2;0;0;3;Meal Plan 1;0;Room_Type 1;146;Offline;0;0;0;75.0;0;0;2017-12-29;29;12;2017
46;INN00047;1;0;0;2;Meal Plan 1;0;Room_Type 1;32;Offline;0;0;0;73.0;0;0;2017-11-20;20;11;2017
47;INN00048;2;0;0;1;Meal Plan 2;0;Room_Type 1;55;Offline;0;0;0;104.0;0;0;2018-04-06;6;4;2018
48;INN00049;2;0;0;4;Not Selected;0;Room_Type 1;57;Online;0;0;0;79.2;1;0;2018-11-01;1;11;2018
49;INN00050;1;0;1;3;Meal Plan 1;0;Room_Type 4;7;Online;0;0;0;125.8;2;0;2018-12-29;29;12;2018
50;INN00051;1;0;2;5;Not Selected;0;Room_Type 1;124;Online;0;0;0;87.95;0;0;2018-05-30;30;5;2018
51;INN00052;2;0;2;2;Meal Plan 2;0;Room_Type 1;169;Online;0;0;0;106.0;0;1;2018-04-22;22;4;2018
52;INN00053;1;0;1;2;Meal Plan 1;0;Room_Type 1;6;Online;0;0;0;136.67;1;0;2018-05-16;16;5;2018
53;INN00054;2;0;0;4;Meal Plan 1;0;Room_Type 4;51;Offline;0;0;0;60.0;1;0;2017-11-11;11;11;2017
54;INN00055;2;0;1;0;Not Selected;0;Room_Type 1;13;Online;0;0;0;89.0;2;0;2018-06-13;13;6;2018
55;INN00056;2;0;1;3;Meal Plan 1;0;Room_Type 1;100;Online;0;0;0;136.0;1;0;2018-05-19;19;5;2018
56;INN00057;2;0;0;1;Not Selected;0;Room_Type 1;139;Online;0;0;0;94.5;1;0;2018-07-28;28;7;2018
57;INN00058;2;0;1;2;Meal Plan 1;0;Room_Type 1;117;Online;0;0;0;93.6;2;0;2018-12-26;26;12;2018
58;INN00059;2;0;1;4;Meal Plan 1;0;Room_Type 4;39;Online;0;0;0;120.6;0;1;2018-04-20;20;4;2018
59;INN00060;2;0;0;3;Meal Plan 1;0;Room_Type 4;86;Online;0;0;0;99.3;1;0;2018-04-06;6;4;2018
60;INN00061;2;2;0;1;Meal Plan 1;1;Room_Type 6;2;Online;0;0;0;258.0;1;0;2018-09-02;2;9;2018
61;INN00062;1;0;0;3;Meal Plan 1;0;Room_Type 4;19;Online;0;0;0;120.12;2;0;2018-05-03;3;5;2018
62;INN00063;1;0;0;2;Meal Plan 1;0;Room_Type 1;192;Offline;0;0;0;95.0;0;0;2018-06-24;24;6;2018
63;INN00064;1;0;0;1;Meal Plan 1;0;Room_Type 1;2;Complementary;0;0;0;0.0;1;0;2017-09-10;10;9;2017
64;INN00065;2;0;2;1;Meal Plan 1;0;Room_Type 1;86;Offline;0;0;0;75.0;0;0;2018-12-18;18;12;2018
65;INN00066;2;0;0;3;Meal Plan 1;0;Room_Type 4;30;Online;0;0;0;157.5;2;0;2018-10-05;5;10;2018
66;INN00067;2;0;0;2;Meal Plan 1;0;Room_Type 4;179;Online;0;0;0;97.7;1;0;2018-06-03;3;6;2018
67;INN00068;2;0;0;2;Meal Plan 1;0;Room_Type 4;26;Online;0;0;0;142.0;0;1;2018-04-15;15;4;2018
68;INN00069;2;0;0;1;Meal Plan 1;0;Room_Type 1;55;Offline;0;0;0;80.0;0;0;2018-04-06;6;4;2018
69;INN00070;2;0;1;2;Meal Plan 1;0;Room_Type 1;74;Online;0;0;0;85.5;1;0;2018-04-25;25;4;2018
70;INN00071;2;0;0;3;Meal Plan 1;0;Room_Type 1;143;Offline;0;0;0;100.0;0;0;2018-08-25;25;8;2018
71;INN00072;2;0;1;0;Not Selected;0;Room_Type 1;34;Online;0;0;0;88.0;2;0;2018-11-14;14;11;2018
72;INN00073;2;0;1;1;Meal Plan 1;1;Room_Type 1;30;Online;0;0;0;122.85;1;0;2018-08-29;29;8;2018
73;INN00074;2;0;0;2;Meal Plan 1;0;Room_Type 1;177;Online;0;0;0;100.0;0;1;2018-06-03;3;6;2018
74;INN00075;2;0;2;3;Meal Plan 1;0;Room_Type 4;34;Offline;0;0;0;75.0;0;0;2017-10-25;25;10;2017
75;INN00076;2;0;1;4;Meal Plan 1;0;Room_Type 4;18;Online;0;0;0;116.8;1;0;2018-03-09;9;3;2018
76;INN00077;3;0;1;1;Meal Plan 1;0;Room_Type 4;267;Online;0;0;0;121.5;0;0;2018-12-31;31;12;2018
77;INN00078;2;0;1;2;Meal Plan 1;0;Room_Type 1;64;Online;0;0;0;111.9;1;0;2018-06-27;27;6;2018
78;INN00079;3;0;2;5;Meal Plan 1;0;Room_Type 4;155;Online;0;0;0;121.55;2;1;2018-06-28;28;6;2018
79;INN00080;2;0;0;5;Meal Plan 1;0;Room_Type 1;46;Offline;0;0;0;75.0;1;0;2018-03-29;29;3;2018
80;INN00081;2;2;0;2;Meal Plan 1;0;Room_Type 6;83;Online;0;0;0;159.3;0;1;2018-04-01;1;4;2018
81;INN00082;2;0;0;5;Meal Plan 1;0;Room_Type 4;128;Online;0;0;0;132.3;0;1;2018-10-11;11;10;2018
82;INN00083;2;0;2;0;Not Selected;0;Room_Type 1;20;Online;0;0;0;88.0;2;0;2018-12-25;25;12;2018
83;INN00084;2;0;1;4;Meal Plan 1;0;Room_Type 4;40;Online;0;0;0;98.82;0;0;2018-03-14;14;3;2018
84;INN00085;2;0;1;2;Meal Plan 1;1;Room_Type 4;46;Online;0;0;0;98.3;1;0;2018-03-04;4;3;2018
85;INN00086;1;0;1;0;Meal Plan 1;0;Room_Type 1;1;Online;0;0;0;150.0;2;0;2018-10-17;17;10;2018
86;INN00087;2;0;2;3;Not Selected;0;Room_Type 1;196;Online;0;0;0;96.05;1;0;2018-09-04;4;9;2018
87;INN00088;1;0;0;2;Meal Plan 1;0;Room_Type 1;188;Online;0;0;0;130.0;0;1;2018-06-15;15;6;2018
88;INN00089;2;0;0;1;Not Selected;0;Room_Type 1;17;Online;1;0;5;95.0;0;0;2018-12-10;10;12;2018
89;INN00090;2;0;0;3;Meal Plan 1;0;Room_Type 5;146;Offline;0;0;0;113.56;0;0;2018-08-09;9;8;2018
90;INN00091;2;0;1;3;Not Selected;0;Room_Type 1;110;Online;0;0;0;101.58;1;0;2018-05-05;5;5;2018
91;INN00092;2;0;1;2;Meal Plan 1;1;Room_Type 1;68;Online;0;0;0;105.3;0;0;2018-03-18;18;3;2018
92;INN00093;2;0;2;1;Meal Plan 1;0;Room_Type 4;73;Online;0;0;0;115.8;1;0;2018-04-09;9;4;2018
93;INN00094;2;0;0;1;Meal Plan 1;0;Room_Type 4;92;Online;0;0;0;149.4;1;0;2018-05-19;19;5;2018
94;INN00095;2;0;2;5;Meal Plan 1;0;Room_Type 1;171;Online;0;0;0;111.59;0;1;2018-08-30;30;8;2018
95;INN00096;2;1;0;2;Meal Plan 1;1;Room_Type 1;134;Online;0;0;0;130.5;2;0;2018-08-04;4;8;2018
96;INN00097;2;0;0;2;Meal Plan 2;0;Room_Type 1;320;Online;0;0;0;115.0;1;1;2018-08-18;18;8;2018
97;INN00098;2;0;0;4;Meal Plan 1;0;Room_Type 1;118;Online;0;0;0;90.95;1;0;2018-04-13;13;4;2018
98;INN00099;2;0;0;3;Meal Plan 1;0;Room_Type 1;30;Online;0;0;0;76.08;1;0;2018-11-17;17;11;2018
99;INN00100;2;2;1;3;Meal Plan 1;0;Room_Type 6;30;Online;0;0;0;156.9;0;0;2018-12-22;22;12;2018
100;INN00101;2;0;1;0;Not Selected;0;Room_Type 1;189;Online;0;0;0;85.5;2;0;2018-10-23;23;10;2018
101;INN00102;3;0;1;2;Meal Plan 1;0;Room_Type 4;55;Online;0;0;0;159.3;2;0;2018-05-13;13;5;2018
102;INN00103;1;0;0;4;Meal Plan 1;0;Room_Type 1;55;Online;0;0;0;74.8;2;0;2018-12-13;13;12;2018
103;INN00104;2;0;0;1;Meal Plan 1;0;Room_Type 1;16;Online;0;0;0;95.0;1;0;2017-10-31;31;10;2017
104;INN00105;2;0;0;3;Meal Plan 1;0;Room_Type 1;24;Online;0;0;0;107.0;1;0;2017-10-08;8;10;2017
105;INN00106;2;0;0;3;Meal Plan 1;0;Room_Type 1;8;Offline;0;0;0;64.0;0;0;2018-02-16;16;2;2018
106;INN00107;2;0;1;4;Meal Plan 1;1;Room_Type 1;10;Online;0;0;0;82.95;0;0;2017-11-02;2;11;2017
107;INN00108;2;0;1;3;Meal Plan 1;0;Room_Type 4;0;Online;0;0;0;155.0;1;0;2017-09-21;21;9;2017
108;INN00109;2;0;0;1;Not Selected;0;Room_Type 1;12;Online;0;0;0;101.68;1;0;2018-06-30;30;6;2018
109;INN00110;2;0;2;1;Meal Plan 1;0;Room_Type 1;32;Online;0;0;0;94.5;3;0;2017-09-05;5;9;2017
110;INN00111;2;0;0;2;Meal Plan 1;0;Room_Type 1;182;Online;0;0;0;117.9;2;1;2018-09-30;30;9;2018
111;INN00112;2;0;1;0;Not Selected;0;Room_Type 1;1;Online;0;0;0;127.0;1;0;2018-06-27;27;6;2018
112;INN00113;2;0;0;3;Not Selected;0;Room_Type 1;122;Online;0;0;0;116.1;2;0;2018-06-16;16;6;2018
113;INN00114;2;0;2;3;Meal Plan 1;0;Room_Type 1;40;Online;0;0;0;117.9;1;0;2018-06-30;30;6;2018
114;INN00115;2;2;2;2;Meal Plan 1;0;Room_Type 2;116;Online;0;0;0;184.24;1;1;2018-06-26;26;6;2018
115;INN00116;3;0;2;2;Meal Plan 1;1;Room_Type 4;123;Online;0;0;0;155.7;1;0;2018-08-13;13;8;2018
116;INN00117;3;0;2;5;Meal Plan 1;0;Room_Type 4;40;Online;0;0;0;135.76;0;1;2018-04-22;22;4;2018
117;INN00118;2;1;2;5;Meal Plan 1;0;Room_Type 1;105;Online;0;0;0;102.83;3;0;2018-11-12;12;11;2018
118;INN00119;2;0;0;1;Meal Plan 1;0;Room_Type 1;443;Online;0;0;0;65.0;0;1;2018-04-29;29;4;2018
119;INN00120;2;0;2;3;Meal Plan 1;0;Room_Type 1;2;Online;0;0;0;103.0;1;0;2017-11-14;14;11;2017
120;INN00121;2;0;0;3;Meal Plan 1;0;Room_Type 1;317;Online;0;0;0;106.2;1;1;2018-09-01;1;9;2018
121;INN00122;2;0;0;2;Meal Plan 2;0;Room_Type 1;286;Offline;0;0;0;58.5;0;0;2018-09-16;16;9;2018
122;INN00123;2;0;1;3;Meal Plan 1;0;Room_Type 1;68;Online;0;0;0;73.95;0;1;2018-03-10;10;3;2018
123;INN00124;2;0;0;3;Meal Plan 1;0;Room_Type 1;148;Online;0;0;0;105.3;0;0;2018-05-05;5;5;2018
124;INN00125;3;0;2;0;Meal Plan 1;0;Room_Type 4;68;Online;0;0;0;133.2;2;0;2018-04-24;24;4;2018
125;INN00126;2;0;0;2;Meal Plan 1;0;Room_Type 1;30;Offline;0;0;0;85.5;0;0;2018-03-30;30;3;2018
126;INN00127;1;0;0;1;Meal Plan 1;0;Room_Type 1;14;Online;0;0;0;112.0;1;1;2018-11-03;3;11;2018
127;INN00128;2;2;0;2;Meal Plan 1;0;Room_Type 6;110;Online;0;0;0;190.8;0;1;2018-10-14;14;10;2018
128;INN00129;1;0;2;3;Meal Plan 1;0;Room_Type 1;117;Offline;0;0;0;110.0;0;0;2018-06-05;5;6;2018
129;INN00130;2;0;1;4;Meal Plan 1;0;Room_Type 4;85;Online;0;0;0;91.48;1;0;2018-07-13;13;7;2018
130;INN00131;2;0;0;2;Not Selected;0;Room_Type 1;1;Online;0;0;0;135.0;2;0;2018-10-20;20;10;2018
131;INN00132;1;0;1;2;Meal Plan 1;0;Room_Type 1;25;Online;0;0;0;129.0;2;0;2018-10-17;17;10;2018
132;INN00133;2;0;2;4;Not Selected;0;Room_Type 1;289;Online;0;0;0;70.55;2;1;2018-12-28;28;12;2018
133;INN00134;2;0;1;4;Meal Plan 1;0;Room_Type 4;28;Offline;0;0;0;75.0;0;0;2017-10-19;19;10;2017
134;INN00135;1;0;0;4;Not Selected;0;Room_Type 1;80;Online;0;0;0;72.25;0;0;2018-03-29;29;3;2018
135;INN00136;2;0;0;1;Meal Plan 1;0;Room_Type 4;11;Online;0;0;0;155.0;2;0;2017-10-09;9;10;2017
136;INN00137;2;1;1;0;Meal Plan 1;0;Room_Type 1;162;Online;0;0;0;121.5;2;1;2018-07-25;25;7;2018
137;INN00138;2;0;2;5;Meal Plan 1;0;Room_Type 1;155;Online;0;0;0;90.95;2;0;2018-06-28;28;6;2018
138;INN00139;1;0;2;2;Meal Plan 1;0;Room_Type 1;82;Online;0;0;0;109.65;0;0;2018-05-22;22;5;2018
139;INN00140;3;0;2;4;Meal Plan 1;0;Room_Type 4;27;Online;0;0;0;142.72;0;1;2018-04-15;15;4;2018
140;INN00141;1;0;1;2;Meal Plan 1;0;Room_Type 1;13;Offline;0;0;0;90.0;0;0;2018-05-09;9;5;2018
141;INN00142;2;0;0;2;Meal Plan 1;0;Room_Type 1;245;Online;0;0;0;75.0;0;1;2018-06-17;17;6;2018
142;INN00143;2;0;0;2;Meal Plan 1;0;Room_Type 1;11;Online;0;0;0;111.0;1;1;2018-11-18;18;11;2018
143;INN00144;2;0;2;2;Meal Plan 1;0;Room_Type 1;266;Online;0;0;0;86.7;2;0;2018-10-30;30;10;2018
144;INN00145;2;0;1;0;Meal Plan 1;0;Room_Type 1;39;Online;0;0;0;117.9;1;0;2018-03-28;28;3;2018
145;INN00146;1;0;0;2;Meal Plan 1;0;Room_Type 1;13;Complementary;1;3;5;0.0;1;0;2018-06-01;1;6;2018
146;INN00147;2;0;0;4;Not Selected;0;Room_Type 1;112;Online;0;0;0;101.58;1;0;2018-05-04;4;5;2018
147;INN00148;2;0;1;2;Not Selected;0;Room_Type 1;88;Online;0;0;0;58.9;1;0;2018-04-08;8;4;2018
148;INN00149;2;0;0;1;Meal Plan 1;0;Room_Type 1;56;Offline;0;0;0;120.0;0;0;2018-06-08;8;6;2018
149;INN00150;2;0;2;3;Meal Plan 1;0;Room_Type 4;73;Online;0;0;0;107.1;0;1;2018-04-07;7;4;2018
150;INN00151;2;0;1;1;Meal Plan 1;0;Room_Type 1;80;Online;0;0;0;126.9;1;0;2018-05-02;2;5;2018
151;INN00152;2;0;0;3;Meal Plan 1;0;Room_Type 4;130;Online;0;0;0;139.5;2;1;2018-09-29;29;9;2018
152;INN00153;2;0;1;3;Not Selected;0;Room_Type 1;69;Online;0;0;0;80.75;1;0;2018-04-04;4;4;2018
153;INN00154;2;0;0;2;Meal Plan 2;0;Room_Type 1;273;Online;0;0;0;109.0;0;1;2017-07-17;17;7;2017
154;INN00155;2;0;0;1;Meal Plan 2;0;Room_Type 1;55;Offline;0;0;0;104.0;0;0;2018-04-06;6;4;2018
155;INN00156;1;0;0;3;Meal Plan 1;0;Room_Type 1;4;Corporate;1;1;5;65.0;1;0;2018-11-01;1;11;2018
156;INN00157;2;0;0;3;Meal Plan 1;0;Room_Type 4;97;Online;0;0;0;140.4;0;0;2018-05-24;24;5;2018
157;INN00158;2;0;0;3;Meal Plan 1;0;Room_Type 1;44;Offline;0;0;0;75.0;0;0;2018-02-17;17;2;2018
158;INN00159;2;0;0;1;Not Selected;0;Room_Type 1;31;Online;0;0;0;94.5;0;1;2018-04-14;14;4;2018
159;INN00160;2;0;1;0;Not Selected;0;Room_Type 1;0;Online;0;0;0;109.0;0;0;2018-06-05;5;6;2018
160;INN00161;2;0;2;2;Meal Plan 1;0;Room_Type 1;62;Online;0;0;0;105.0;2;0;2018-11-12;12;11;2018
161;INN00162;2;0;2;2;Meal Plan 1;0;Room_Type 4;86;Online;0;0;0;107.95;1;0;2018-04-17;17;4;2018
162;INN00163;3;0;2;2;Meal Plan 1;0;Room_Type 7;3;Online;0;0;0;215.6;1;0;2018-10-07;7;10;2018
163;INN00164;2;0;1;1;Not Selected;0;Room_Type 1;197;Online;0;0;0;85.5;1;0;2018-08-01;1;8;2018
164;INN00165;2;0;0;2;Meal Plan 1;0;Room_Type 1;143;Online;0;0;0;105.3;2;0;2018-07-12;12;7;2018
165;INN00166;1;0;2;1;Meal Plan 2;0;Room_Type 1;23;Online;0;0;0;1.0;0;0;2018-01-02;2;1;2018
166;INN00167;2;0;0;2;Meal Plan 1;0;Room_Type 4;8;Online;0;0;0;156.0;0;1;2018-06-15;15;6;2018
167;INN00168;1;0;0;2;Meal Plan 1;0;Room_Type 1;13;Online;0;0;0;73.15;1;0;2018-11-16;16;11;2018
168;INN00169;2;0;1;2;Meal Plan 1;0;Room_Type 1;280;Online;0;0;0;110.0;0;1;2018-09-19;19;9;2018
169;INN00170;2;1;1;0;Not Selected;0;Room_Type 1;11;Online;0;0;0;87.4;1;0;2017-09-13;13;9;2017
170;INN00171;2;0;0;2;Meal Plan 1;0;Room_Type 1;317;Online;0;0;0;120.0;0;1;2018-09-15;15;9;2018
171;INN00172;2;0;1;2;Not Selected;0;Room_Type 1;185;Online;0;0;0;79.2;0;1;2018-12-16;16;12;2018
172;INN00173;2;0;1;3;Meal Plan 1;0;Room_Type 1;160;Online;0;0;0;90.95;1;0;2018-06-30;30;6;2018
173;INN00174;2;0;0;4;Meal Plan 1;0;Room_Type 1;104;Online;0;0;0;91.48;1;0;2018-10-18;18;10;2018
174;INN00175;2;1;0;1;Meal Plan 1;0;Room_Type 1;11;Online;0;0;0;150.0;1;1;2018-11-05;5;11;2018
175;INN00176;2;0;0;1;Not Selected;0;Room_Type 1;2;Online;0;0;0;89.0;0;0;2018-03-22;22;3;2018
176;INN00177;2;0;1;4;Not Selected;0;Room_Type 1;14;Online;0;0;0;91.43;1;0;2018-08-17;17;8;2018
177;INN00178;2;0;0;2;Meal Plan 1;0;Room_Type 1;22;Offline;0;0;0;140.0;0;0;2018-05-20;20;5;2018
178;INN00179;1;1;2;5;Not Selected;0;Room_Type 1;37;Online;0;0;0;87.78;0;0;2017-10-24;24;10;2017
179;INN00180;2;0;0;2;Meal Plan 2;0;Room_Type 1;292;Online;0;0;0;115.0;0;1;2018-07-21;21;7;2018
180;INN00181;2;0;0;3;Meal Plan 1;0;Room_Type 1;11;Online;0;0;0;80.85;1;0;2017-09-09;9;9;2017
181;INN00182;2;0;1;3;Meal Plan 1;0;Room_Type 1;86;Online;0;0;0;82.45;1;0;2018-03-31;31;3;2018
182;INN00183;2;0;0;1;Not Selected;0;Room_Type 1;109;Online;0;0;0;108.0;0;1;2018-10-11;11;10;2018
183;INN00184;2;0;1;1;Meal Plan 1;0;Room_Type 4;72;Online;0;0;0;96.3;1;0;2018-04-02;2;4;2018
184;INN00185;2;0;1;5;Meal Plan 1;0;Room_Type 1;196;Online;0;0;0;99.45;0;1;2018-08-22;22;8;2018
185;INN00186;2;0;0;2;Meal Plan 1;0;Room_Type 4;56;Online;0;0;0;140.4;1;0;2018-05-13;13;5;2018
186;INN00187;2;0;1;3;Meal Plan 1;0;Room_Type 1;189;Offline;0;0;0;72.25;0;0;2018-08-08;8;8;2018
187;INN00188;2;0;1;4;Meal Plan 1;0;Room_Type 4;126;Online;0;0;0;126.0;0;0;2018-08-15;15;8;2018
188;INN00189;2;0;2;3;Meal Plan 1;0;Room_Type 1;303;Online;0;0;0;78.0;0;1;2018-08-19;19;8;2018
189;INN00190;1;0;2;2;Meal Plan 1;0;Room_Type 4;81;Online;0;0;0;146.6;1;0;2018-11-06;6;11;2018
190;INN00191;2;0;1;2;Meal Plan 1;0;Room_Type 1;54;Online;0;0;0;118.8;0;1;2018-10-10;10;10;2018
191;INN00192;1;0;0;1;Meal Plan 1;0;Room_Type 1;15;Online;0;0;0;145.0;0;1;2018-10-06;6;10;2018
192;INN00193;2;0;0;4;Meal Plan 1;0;Room_Type 1;86;Online;0;0;0;84.58;0;1;2018-04-06;6;4;2018
193;INN00194;2;0;1;2;Meal Plan 2;0;Room_Type 1;161;Online;0;0;0;130.0;0;1;2018-03-25;25;3;2018
194;INN00195;2;0;4;10;Meal Plan 1;0;Room_Type 4;147;Online;0;0;0;118.88;1;1;2018-08-03;3;8;2018
195;INN00196;2;0;1;2;Meal Plan 1;0;Room_Type 1;92;Offline;0;0;0;101.52;0;0;2018-05-30;30;5;2018
196;INN00197;2;0;0;1;Meal Plan 1;0;Room_Type 1;87;Corporate;0;0;0;100.0;0;1;2017-09-11;11;9;2017
197;INN00198;2;0;2;1;Meal Plan 1;0;Room_Type 1;109;Offline;0;0;0;58.0;0;0;2018-03-20;20;3;2018
198;INN00199;2;0;0;4;Meal Plan 1;0;Room_Type 1;127;Offline;0;0;0;61.5;2;0;2018-03-23;23;3;2018
199;INN00200;2;0;1;2;Meal Plan 2;0;Room_Type 1;418;Online;0;0;0;107.0;0;1;2018-09-26;26;9;2018
200;INN00201;2;0;1;4;Not Selected;0;Room_Type 1;156;Online;0;0;0;87.3;1;0;2018-08-24;24;8;2018
201;INN00202;2;0;0;2;Meal Plan 1;0;Room_Type 1;80;Online;0;0;0;76.5;1;1;2017-07-16;16;7;2017
202;INN00203;2;0;2;2;Not Selected;0;Room_Type 1;211;Online;0;0;0;63.75;0;1;2018-12-16;16;12;2018
203;INN00204;2;0;1;2;Meal Plan 1;0;Room_Type 1;273;Online;0;0;0;95.0;0;1;2018-05-13;13;5;2018
204;INN00205;2;0;2;1;Meal Plan 1;0;Room_Type 1;58;Offline;0;0;0;75.0;1;0;2018-11-19;19;11;2018
205;INN00206;2;0;0;3;Meal Plan 1;0;Room_Type 1;433;Online;0;0;0;70.0;0;1;2018-09-08;8;9;2018
206;INN00207;2;0;1;3;Meal Plan 1;0;Room_Type 1;111;Online;0;0;0;101.58;1;0;2018-05-02;2;5;2018
